coin,id,timestamp,signal_direction,signal_strength,bad_traders_total,long_count,short_count,long_percentage,short_percentage,long_usd_value,short_usd_value,long_usd_percentage,short_usd_percentage,confidence_score,primary_metric,current_price
BTC,5350,2025-12-23 09:39:34,SHORT,MODERATE,209,131,78,62.67942583732058,37.32057416267943,14873942.08913,11615010.3678,56.15149226197015,43.84850773802986,0.254,count,87294.5
BTC,5393,2025-12-23 10:40:42,SHORT,MODERATE,207,133,74,64.25120772946859,35.748792270531396,14928955.60053,11592180.20528,56.29078524329076,43.70921475670923,0.285,count,87575.5
BTC,5435,2025-12-23 11:41:51,SHORT,MODERATE,207,136,71,65.70048309178745,34.29951690821256,15008294.01357,11483181.837580001,56.65329518784997,43.34670481215003,0.314,count,87746.5
BTC,5477,2025-12-23 12:43:00,SHORT,MODERATE,209,138,71,66.02870813397129,33.97129186602871,15173650.23144,11193579.00929,57.54738236963082,42.45261763036917,0.321,count,87844.5
BTC,5520,2025-12-23 13:44:09,SHORT,MODERATE,200,129,71,64.5,35.5,14572593.19908,11173616.97986,56.60092533152765,43.39907466847236,0.29,count,87653.5
BTC,5561,2025-12-23 14:45:21,SHORT,MODERATE,202,129,73,63.86138613861386,36.13861386138614,14700894.77241,11177701.38518,56.80715709185923,43.19284290814076,0.277,count,87336.5
BTC,5618,2025-12-23 15:48:56,SHORT,MODERATE,204,138,66,67.64705882352942,32.35294117647059,13708431.12482,11149226.950029999,55.147717792005714,44.85228220799428,0.353,count,87334.5
BTC,5656,2025-12-23 16:50:05,SHORT,MODERATE,209,141,68,67.46411483253588,32.535885167464116,14648247.57355,11212298.03879,56.643227073137325,43.35677292686266,0.349,count,87883.5
BTC,5691,2025-12-23 17:31:09,SHORT,MODERATE,204,136,68,66.66666666666666,33.33333333333333,13577417.35277,11230035.55685,54.73120276489514,45.268797235104856,0.333,count,87719.5
BTC,5726,2025-12-23 18:32:18,SHORT,MODERATE,205,138,67,67.31707317073172,32.6829268292683,13977670.93851,11231425.45241,55.44693360585738,44.553066394142625,0.346,count,87844.5
BTC,5763,2025-12-23 19:33:27,SHORT,MODERATE,195,128,67,65.64102564102564,34.35897435897436,13692203.312619999,11393559.309940001,54.58157090391342,45.41842909608657,0.313,count,87665.5
BTC,5801,2025-12-23 20:34:35,SHORT,MODERATE,192,128,64,66.66666666666666,33.33333333333333,13629338.30174,11514876.11619,54.204669413020525,45.795330586979475,0.333,count,87721.5
BTC,5836,2025-12-23 21:35:44,SHORT,MODERATE,197,137,60,69.54314720812182,30.456852791878177,14311849.51223,11068086.10338,56.39040905772612,43.60959094227388,0.391,count,87740.5
BTC,5874,2025-12-23 22:36:52,SHORT,MODERATE,191,133,58,69.63350785340315,30.36649214659686,14134853.89668,10957160.56439,56.332080943959596,43.6679190560404,0.393,count,87237.0
BTC,5912,2025-12-23 23:38:01,SHORT,STRONG,188,133,55,70.74468085106383,29.25531914893617,13875953.2749,10974558.45264,55.837696330101316,44.162303669898684,0.415,count,87437.5
BTC,5948,2025-12-24 00:39:10,SHORT,MODERATE,191,133,58,69.63350785340315,30.36649214659686,13876879.33602,10975338.13586,55.83759015356087,44.16240984643913,0.393,count,87459.5
BTC,5983,2025-12-24 01:40:18,SHORT,MODERATE,191,131,60,68.58638743455498,31.413612565445025,13928186.81732,11021677.61268,55.82469939424838,44.17530060575163,0.372,count,87582.5
BTC,6017,2025-12-24 02:41:27,SHORT,MODERATE,195,134,61,68.71794871794872,31.28205128205128,14143970.24935,10848404.97481,56.59314139808968,43.40685860191032,0.374,count,87200.5
BTC,6054,2025-12-24 03:42:35,SHORT,STRONG,191,134,57,70.15706806282722,29.84293193717277,13492690.24807,9475623.42125,58.744801391723,41.25519860827699,0.403,count,87310.5
BTC,6092,2025-12-24 04:43:44,SHORT,STRONG,190,135,55,71.05263157894737,28.947368421052634,15111658.14454,6061717.01444,71.37104042730232,28.628959572697692,0.421,count,87258.5
BTC,6130,2025-12-24 05:44:52,SHORT,STRONG,189,135,54,71.42857142857143,28.57142857142857,15147833.42058,5979006.30892,71.69947618539774,28.300523814602265,0.429,count,86797.5
BTC,6168,2025-12-24 06:46:01,SHORT,STRONG,192,139,53,72.39583333333334,27.604166666666668,15163373.564199999,5976299.69224,71.72946043326674,28.27053956673326,0.448,count,87001.5
BTC,6207,2025-12-24 07:47:09,SHORT,STRONG,195,141,54,72.3076923076923,27.692307692307693,15195865.29513,5989939.22723,71.72663789610596,28.27336210389403,0.446,count,87091.5
BTC,6245,2025-12-24 08:48:18,SHORT,STRONG,194,139,55,71.64948453608247,28.350515463917525,15175864.80322,5997567.21038,71.67409040476916,28.325909595230836,0.433,count,86885.5
BTC,6282,2025-12-24 09:49:27,SHORT,STRONG,191,137,54,71.72774869109948,28.272251308900525,15050043.09288,5886594.2623499995,71.88376451063895,28.116235489361046,0.435,count,86861.5
BTC,6337,2025-12-24 10:52:40,SHORT,STRONG,196,141,55,71.93877551020408,28.061224489795915,15210047.9133,5982194.6206,71.77177162336346,28.22822837663655,0.439,count,87124.5
BTC,6393,2025-12-24 11:58:53,SHORT,STRONG,201,145,56,72.13930348258707,27.860696517412936,15812751.70109,6023161.499050001,72.41626011312692,27.583739886873076,0.443,count,87202.5
BTC,6411,2025-12-24 12:29:28,SHORT,STRONG,205,146,59,71.21951219512195,28.780487804878046,15850037.5869,6036352.71733,72.41960582159886,27.58039417840113,0.424,count,87310.5
BTC,6446,2025-12-24 13:30:38,SHORT,STRONG,200,141,59,70.5,29.5,15777195.88813,6055362.14951,72.26453199359246,27.735468006407544,0.41,count,87252.5
BTC,6483,2025-12-24 14:31:47,SHORT,STRONG,194,137,57,70.61855670103093,29.381443298969074,15744864.57714,6088418.42612,72.11404979630906,27.88595020369093,0.412,count,87252.5
BTC,6524,2025-12-24 15:32:56,SHORT,STRONG,191,134,57,70.15706806282722,29.84293193717277,14721679.8684,6107538.42477,70.6780238278424,29.321976172157605,0.403,count,87035.5
BTC,6566,2025-12-24 16:34:06,SHORT,STRONG,189,135,54,71.42857142857143,28.57142857142857,14836260.077539999,6151770.20323,70.68914938212913,29.310850617870877,0.429,count,87614.0
BTC,6608,2025-12-24 17:35:15,SHORT,STRONG,190,136,54,71.57894736842105,28.421052631578945,13095821.88002,6223147.25958,67.78737408496708,32.21262591503291,0.432,count,87508.5
BTC,6650,2025-12-24 18:36:24,SHORT,STRONG,192,136,56,70.83333333333334,29.166666666666668,13188273.362949999,6634862.67152,66.52970216224723,33.47029783775276,0.417,count,87388.5
BTC,6692,2025-12-24 19:37:33,SHORT,STRONG,190,134,56,70.52631578947368,29.47368421052631,13183535.36086,6776883.06171,66.04839178097028,33.95160821902973,0.411,count,87447.5
BTC,6734,2025-12-24 20:38:42,SHORT,STRONG,188,133,55,70.74468085106383,29.25531914893617,13287041.63495,6871490.4705,65.91274387165203,34.087256128347974,0.415,count,87626.5
BTC,6776,2025-12-24 21:39:52,SHORT,STRONG,185,130,55,70.27027027027027,29.72972972972973,13383882.29695,6958281.9089,65.7937973635129,34.20620263648711,0.405,count,87753.5
BTC,6818,2025-12-24 22:41:01,SHORT,STRONG,183,131,52,71.58469945355192,28.415300546448087,13621240.471690001,7133753.64466,65.6287368492179,34.37126315078209,0.432,count,87970.5
BTC,6860,2025-12-24 23:42:10,SHORT,MODERATE,191,133,58,69.63350785340315,30.36649214659686,13778538.39131,7347174.0706899995,65.22165070690149,34.7783492930985,0.393,count,87629.5
BTC,6902,2025-12-25 00:43:19,SHORT,MODERATE,194,132,62,68.04123711340206,31.958762886597935,13759759.96696,7419372.76515,64.96847694853255,35.03152305146744,0.361,count,87561.5
BTC,6944,2025-12-25 01:44:28,SHORT,MODERATE,191,129,62,67.5392670157068,32.460732984293195,13758401.86388,7461853.58467,64.83617455613675,35.16382544386323,0.351,count,87699.5
BTC,6986,2025-12-25 02:45:37,SHORT,MODERATE,192,131,61,68.22916666666666,31.770833333333332,13815065.70656,7411811.49213,65.08289268009986,34.91710731990014,0.365,count,87886.5
BTC,7028,2025-12-25 03:46:46,SHORT,MODERATE,194,131,63,67.5257731958763,32.47422680412371,13808259.79381,7376086.74799,65.18142896956563,34.81857103043437,0.351,count,87760.5
BTC,7070,2025-12-25 04:47:56,SHORT,MODERATE,191,131,60,68.58638743455498,31.413612565445025,13827963.94974,7327295.35521,65.36419029619019,34.63580970380981,0.372,count,87761.5
BTC,7113,2025-12-25 05:49:05,SHORT,MODERATE,197,134,63,68.02030456852792,31.979695431472084,13860865.37888,7343560.36862,65.36779417624264,34.63220582375736,0.36,count,87760.5
BTC,7154,2025-12-25 06:50:14,SHORT,MODERATE,193,132,61,68.39378238341969,31.606217616580313,13756152.24419,7363803.21394,65.13343397651272,34.866566023487266,0.368,count,87791.5
BTC,7196,2025-12-25 07:51:23,SHORT,MODERATE,192,132,60,68.75,31.25,13773184.75429,7362971.98303,65.16409262792209,34.83590737207791,0.375,count,87798.5
BTC,7239,2025-12-25 08:52:32,SHORT,MODERATE,188,130,58,69.14893617021278,30.851063829787233,13681439.80992,7235535.33179,65.40830936227579,34.59169063772422,0.383,count,87485.5
BTC,7281,2025-12-25 09:53:42,SHORT,MODERATE,187,130,57,69.5187165775401,30.481283422459892,13658489.482280001,8872331.0735,60.621358411982406,39.378641588017594,0.39,count,87491.5
BTC,7324,2025-12-25 10:54:51,SHORT,MODERATE,182,123,59,67.58241758241759,32.417582417582416,13652706.84882,7275549.872649999,65.2357577151368,34.76424228486321,0.352,count,87358.5
BTC,7364,2025-12-25 11:56:01,SHORT,MODERATE,186,125,61,67.20430107526882,32.795698924731184,13675592.36911,7271328.6119099995,65.28688575042342,34.71311424957658,0.344,count,87496.5
BTC,7405,2025-12-25 12:57:10,SHORT,MODERATE,184,125,59,67.93478260869566,32.065217391304344,13694610.9041,7238576.39785,65.42057215923491,34.579427840765085,0.359,count,87537.5
BTC,7446,2025-12-25 13:58:19,SHORT,MODERATE,182,127,55,69.78021978021978,30.21978021978022,13678211.5488,7226622.9144,65.4308531975154,34.56914680248459,0.396,count,87625.5
BTC,7488,2025-12-25 14:59:28,SHORT,MODERATE,184,126,58,68.47826086956522,31.521739130434785,13672699.00121,7470084.54076,64.66839607031247,35.331603929687525,0.37,count,87691.5
BTC,7509,2025-12-25 15:30:03,SHORT,MODERATE,184,128,56,69.56521739130434,30.434782608695656,13716786.50652,9275103.66294,59.6592381288422,40.34076187115781,0.391,count,88061.5
BTC,7552,2025-12-25 16:31:12,SHORT,MODERATE,190,127,63,66.84210526315789,33.1578947368421,13953408.532850001,9860530.68726,58.59344984414363,41.40655015585638,0.337,count,88399.5
BTC,7594,2025-12-25 17:32:22,SHORT,MODERATE,194,130,64,67.0103092783505,32.98969072164948,14311363.94316,10235755.968249999,58.30160114428654,41.69839885571347,0.34,count,88010.5
BTC,7637,2025-12-25 18:33:30,SHORT,MODERATE,195,134,61,68.71794871794872,31.28205128205128,14372058.23191,10586213.06628,57.58434973399892,42.415650266001094,0.374,count,88214.5
BTC,7682,2025-12-25 19:34:39,SHORT,MODERATE,191,130,61,68.06282722513089,31.93717277486911,14295135.69293,10837066.30577,56.87975806365648,43.12024193634351,0.361,count,88077.5
BTC,7725,2025-12-25 20:35:49,SHORT,MODERATE,186,128,58,68.81720430107528,31.182795698924732,13940881.6908,10906309.78198,56.10646863679616,43.89353136320384,0.376,count,87782.5
BTC,7767,2025-12-25 21:36:58,SHORT,MODERATE,188,131,57,69.68085106382979,30.319148936170215,14018971.57585,9322895.25262,60.05934177788688,39.94065822211313,0.394,count,87925.5
BTC,7809,2025-12-25 22:38:07,SHORT,MODERATE,186,129,57,69.35483870967742,30.64516129032258,13969379.188409999,9424366.52467,59.714161894986276,40.28583810501374,0.387,count,87861.5
BTC,7850,2025-12-25 23:39:17,SHORT,MODERATE,180,123,57,68.33333333333333,31.666666666666664,12638004.013319999,9344228.84817,57.49190308806224,42.50809691193777,0.367,count,87077.5
BTC,7896,2025-12-26 00:40:26,SHORT,MODERATE,182,125,57,68.68131868131869,31.318681318681318,12623971.70861,9407972.39815,57.29849189630352,42.701508103696476,0.374,count,87085.5
BTC,7941,2025-12-26 01:41:35,SHORT,MODERATE,182,123,59,67.58241758241759,32.417582417582416,12578967.341,9417243.14229,57.18697477711419,42.813025222885805,0.352,count,87327.5
BTC,7982,2025-12-26 02:42:44,SHORT,MODERATE,174,120,54,68.96551724137932,31.03448275862069,12374627.93924,9519377.150290001,56.5206223741937,43.47937762580631,0.379,count,89206.5
BTC,8024,2025-12-26 03:43:53,SHORT,MODERATE,175,118,57,67.42857142857143,32.57142857142858,11616851.31584,9503991.48006,55.001835997259896,44.9981640027401,0.349,count,88665.5
BTC,8064,2025-12-26 04:45:02,SHORT,MODERATE,174,118,56,67.81609195402298,32.18390804597701,10790165.18823,11196434.23394,49.07609849547644,50.92390150452357,0.356,count,88994.5
BTC,8104,2025-12-26 05:46:12,SHORT,MODERATE,178,121,57,67.97752808988764,32.02247191011236,10737436.83384,10382509.453440001,50.840265821636486,49.15973417836351,0.36,count,88824.5
BTC,8144,2025-12-26 06:47:21,SHORT,MODERATE,179,118,61,65.92178770949721,34.07821229050279,10740227.538,12183068.2349,46.852894297586715,53.14710570241329,0.318,count,89104.5
BTC,8184,2025-12-26 07:48:30,SHORT,MODERATE,176,120,56,68.18181818181817,31.818181818181817,10738430.172,10803176.94025,49.849716950289235,50.150283049710765,0.364,count,88688.5
BTC,8223,2025-12-26 08:49:40,SHORT,MODERATE,178,122,56,68.53932584269663,31.46067415730337,11216639.959929999,10644130.85427,51.30944400480178,48.69055599519822,0.371,count,88671.5
BTC,8264,2025-12-26 09:51:09,SHORT,MODERATE,180,122,58,67.77777777777779,32.22222222222222,11300845.78251,10666224.521639999,51.44448315611324,48.55551684388676,0.356,count,88837.5
BTC,8305,2025-12-26 10:52:29,SHORT,MODERATE,181,123,58,67.95580110497238,32.04419889502763,11748405.6624,10790585.07411,52.124808070350866,47.87519192964913,0.359,count,88759.5
BTC,8347,2025-12-26 11:53:38,SHORT,MODERATE,182,123,59,67.58241758241759,32.417582417582416,11721488.18667,10742519.97616,52.1789704744896,47.8210295255104,0.352,count,88532.5
BTC,8387,2025-12-26 12:54:47,SHORT,MODERATE,182,127,55,69.78021978021978,30.21978021978022,12080945.8592,10627942.15021,53.19919607773818,46.80080392226182,0.396,count,88671.5
BTC,8428,2025-12-26 13:55:57,SHORT,STRONG,184,129,55,70.1086956521739,29.891304347826086,11672782.07585,12084240.08845,49.134028646868245,50.865971353131755,0.402,count,88982.5
BTC,8473,2025-12-26 14:57:06,SHORT,MODERATE,176,118,58,67.04545454545455,32.95454545454545,13116806.58908,10896953.77529,54.622043320386574,45.37795667961343,0.341,count,87390.5
BTC,8514,2025-12-26 15:58:15,SHORT,MODERATE,181,126,55,69.61325966850829,30.386740331491712,13621439.3929,11685727.57075,53.824434052476846,46.17556594752316,0.392,count,87075.5
BTC,8558,2025-12-26 16:59:24,SHORT,MODERATE,183,127,56,69.39890710382514,30.601092896174865,13524793.53614,11771715.73406,53.46505872283568,46.534941277164336,0.388,count,86831.5
BTC,8582,2025-12-26 17:29:58,SHORT,MODERATE,185,127,58,68.64864864864865,31.351351351351354,13686114.88233,11885114.14926,53.52153729264458,46.47846270735542,0.373,count,87276.5
BTC,8629,2025-12-26 18:31:08,SHORT,MODERATE,184,124,60,67.3913043478261,32.608695652173914,12113580.6012,11909114.27628,50.4255690836578,49.5744309163422,0.348,count,87221.5
BTC,8675,2025-12-26 19:32:17,SHORT,MODERATE,186,126,60,67.74193548387096,32.25806451612903,12187417.30572,11936159.61072,50.520772056047726,49.47922794395227,0.355,count,87357.5
BTC,8721,2025-12-26 20:33:26,SHORT,MODERATE,187,126,61,67.37967914438502,32.62032085561498,12116127.85713,13264869.90308,47.73700376793128,52.26299623206872,0.348,count,87600.5
BTC,8766,2025-12-26 21:34:36,SHORT,MODERATE,189,127,62,67.1957671957672,32.804232804232804,12212526.19865,14717125.542439999,45.34973684793626,54.65026315206374,0.344,count,87491.5
BTC,8813,2025-12-26 22:35:45,SHORT,MODERATE,191,127,64,66.49214659685863,33.50785340314136,12176294.21453,14677676.94675,45.34262043182151,54.6573795681785,0.33,count,87440.5
BTC,8858,2025-12-26 23:36:54,SHORT,MODERATE,188,125,63,66.48936170212765,33.51063829787234,12176803.72827,16117216.4824,43.03666865862345,56.963331341376545,0.33,count,87413.5
BTC,8904,2025-12-27 00:38:04,SHORT,MODERATE,186,124,62,66.66666666666666,33.33333333333333,12088886.81524,14586401.18543,45.318674028697885,54.68132597130211,0.333,count,87331.5
BTC,8949,2025-12-27 01:39:13,SHORT,MODERATE,188,126,62,67.02127659574468,32.97872340425532,12092278.90731,16148257.19015,42.81887165873455,57.18112834126545,0.34,count,87411.5
BTC,8995,2025-12-27 02:40:22,SHORT,MODERATE,187,128,59,68.44919786096256,31.550802139037433,12270018.04602,11272180.00272,52.1192542030998,47.88074579690021,0.369,count,87402.5
